# A1 90-minute triage block — mirrored scout on the bleaching fluorescent sample
# Optical path: stage-a-fluorescence-dualcam-v1; transfer_scope=fluorescence_chain.
# This is A1: J24 phase-0 marker, NOT the A2 photodiode-comparator trigger.
# Runbook: knowledge base/experiments/A1-bode/checklist.md -> "90-minute triage block".
# Design: knowledge base/methodology/a1-bleaching-dual-camera.md
#
# Not generated by build_a1_protocols.py, but VALIDATED as a versioned plugin fixture
# (2026-08-10): shipped as plugins/stage-a-a1/protocols/a1_triage_90min.csv and checked by
# stage-a-modulation and stage-a-photodiode against the production parser, the recorded
# 2026-07-30 lobe/DAC ceiling, the exact mean->frequency->depth retarget order through the
# real service/drive_command path, and the production 500 kSa/s photodiode ring.
# 235/235 tests pass across the three Stage-A suites; the guards were confirmed live by
# mutation — an out-of-range mean_u and a one-cycle row both make the suites fail.
# This file and the shipped fixture must stay byte-identical; a test enforces it.
#
# Hand-checked in addition, because the suites do NOT check it: worst H7 is 200 Hz/a=1.50
# -> 2fa/C = 2609 1/s against 1/tau_refr = 54945 1/s (provisional C=0.23, tau_refr=18.2 us).
# Recheck H7 against the actual bias readback before arming.
# The photodiode ring caps at 16e6 samples, so at 500 kSa/s the lowest frequency that can
# retain two cycles is 0.0625 Hz. The 0.2 Hz floor below keeps 3.2x margin.
# a=1.70 is the GUI limit, not a service limit — the modulation service accepts more at
# mean_u=0.30. Do not raise it here without re-deriving the H7 grid.
#
# OPERATOR STEPS THAT ARE NOT ROWS IN THIS FILE — do them first:
#  1. Freeze session: bias readback + name bias-vN, read bias_refr, ERC/STC/trail OFF read back,
#     sample_id, FOV position/orientation, ROI ~256x256, disk, PD cache >= 30 s.
#  2. ADC dark, light-blocked H14 DAC-active sham, fresh I_tot anchor. The A1 plugin refuses
#     the sidecar without a confirmed anchor. Repeat ADC dark and I_tot after the block.
#  3. sCMOS: confocality check, one dark-corrected flat map, freeze the flattest ROI.
#     Do NOT flip or refocus between that map and windows_slow below — that pair is the
#     offline sCMOS->event registration.
#  4. sCMOS constant-illumination bleach/pre-bleach run at the SAME CYCLE-MEAN flux as these
#     rows (not the same mean_u — Bessel I0(a/2)). Stop at <1 % change over 2 min, or 8 min.
#  5. Compute k, then T_block <= 0.05/k and f_min = k/(0.04*0.30). THE LADDER BELOW STARTS AT
#     0.2 Hz. If f_min > 0.2 Hz, delete every row below f_min from BOTH passes symmetrically
#     and record that you did. Do not run a frequency below f_min: the within-cycle bleaching
#     ramp fakes an OFF excess of k/(2af) there.
#  6. Shutter-closed EVB dark recording (no row here — the camera sees no light).
#  7. After the block: closing sCMOS map + 2 min bleach bracket, closing ADC dark and I_tot.
#
# STRUCTURE. Two mirrored passes over 7 half-decade frequencies x 2 depths. Pass B is the
# EXACT reverse of pass A, so every frequency carries an early and a late acquisition and the
# drift bracket exists at the knee without knowing where the knee is. IF TIME RUNS SHORT,
# DELETE FREQUENCIES FROM BOTH PASSES — NEVER DROP PASS B. A single unbracketed pass
# reproduces the 2026-08-05 failure mode.
#
# DEPTHS 0.30 and 1.50 are far apart on purpose. The bleaching contribution to the ON/OFF
# asymmetry is k/(2af): it must fall as 1/f along the ladder AND as 1/a between the two
# depths, at the magnitude the measured k predicts. That scaling is the discriminator between
# a bleaching artefact and a real ON/OFF bandwidth difference. Optional third depth a=0.70
# only if pass A finishes early — and then interleaved into BOTH passes, never appended.
#
# REFERENCES are 0.63 Hz / a=1.50. The three identical opening repeats define sigma_ref;
# every A/B difference is judged against it, not against a percentage.
#
# Budget: 40 recordings, 21.9 min acquisition, 2.2 min declared settling, 24.1 min total.
# Verified: pass B is the exact reverse of pass A, and the 7x2 grid is complete with no repeats.
#
# Analysis: background-subtracted events per cycle per valid pixel, ON and OFF never pooled,
# hot pixel (542,299) masked at event level if inside the ROI. The folded-histogram
# fundamental A1 is a DETECTION statistic only — it is shape-biased (2026-07-31).
#
label,mean_u,frequency_hz,depth_a,duration_s,settle_s,role
floor_slow,0.3,0.63,0.02,60,8,background
floor_fast,0.3,63,0.02,20,3,background
windows_slow,0.3,0.63,1.7,32,3,pilot
windows_fast,0.3,63,1.5,20,3,pilot
ref_open_1,0.3,0.63,1.5,32,3,
ref_open_2,0.3,0.63,1.5,32,3,
ref_open_3,0.3,0.63,1.5,32,3,
scoutA,0.3,2.0,1.5,20,3,
scoutA,0.3,0.2,0.3,100,3,
scoutA,0.3,20,0.3,20,3,
scoutA,0.3,0.63,1.5,32,3,
scoutA,0.3,200,1.5,20,3,
ref_a1,0.3,0.63,1.5,32,3,
scoutA,0.3,6.3,0.3,20,3,
scoutA,0.3,0.63,0.3,32,3,
scoutA,0.3,63,1.5,20,3,
scoutA,0.3,2.0,0.3,20,3,
scoutA,0.3,0.2,1.5,100,3,
ref_a2,0.3,0.63,1.5,32,3,
scoutA,0.3,6.3,1.5,20,3,
scoutA,0.3,200,0.3,20,3,
scoutA,0.3,20,1.5,20,3,
scoutA,0.3,63,0.3,20,3,
scoutB,0.3,63,0.3,20,3,
scoutB,0.3,20,1.5,20,3,
scoutB,0.3,200,0.3,20,3,
scoutB,0.3,6.3,1.5,20,3,
scoutB,0.3,0.2,1.5,100,3,
ref_b1,0.3,0.63,1.5,32,3,
scoutB,0.3,2.0,0.3,20,3,
scoutB,0.3,63,1.5,20,3,
scoutB,0.3,0.63,0.3,32,3,
scoutB,0.3,6.3,0.3,20,3,
scoutB,0.3,200,1.5,20,3,
ref_b2,0.3,0.63,1.5,32,3,
scoutB,0.3,0.63,1.5,32,3,
scoutB,0.3,20,0.3,20,3,
scoutB,0.3,0.2,0.3,100,3,
scoutB,0.3,2.0,1.5,20,3,
ref_close,0.3,0.63,1.5,32,8,
