# A3 technical smoke: 2/8/32 Hz, two depths, sparse 0.5 Hz checks and repeated reference.
# Generated by scripts/build_a3_protocols.py. Do not infer scientific validity from completion.
# Emission PD after filter/50:50 splitter; measured dark reference applied; J24 sync.
# Start with the calibrated optical log-sine drive. Keep sample/ROI/mask/PD gain/load fixed.
# Profile A1-bias-v1-monitoring; confirm this saved profile contains bias-v1 and filters OFF.
# diff_on/off are offsets; host readback must confirm each requested bias and restoration.
# a is commanded log excursion. Compute actual dark-corrected contrast from saved PDQ offline.
# Main ladders: 2/8/32 Hz. Sparse 0.5 Hz checks; no 0.2 Hz points.
# All frequencies are candidates; test frequency independence at each flux AND bias offline.
# low_depth_control rows use a=0.01; they are NOT constant-light backgrounds.
# mean_u is a relative operating point, not calibrated photon flux. Retain registered frame references.
# Scope: effective thresholds in this optical configuration; local contrast/drift gates still apply.
# 11 recordings; 156 s recording+settling; about 4.6 min with 11 s/file.
# Excludes manual references, bias readback overhead, retries and setup. Use New ID for an independent repeat.
camera_profile,label,mean_u,frequency_hz,depth_a,duration_s,settle_s,role,diff_on,diff_off
A1-bias-v1-monitoring,low_depth_control_start,0.3,2,0.01,10,2,,0,0
A1-bias-v1-monitoring,smoke_f2_a0.3,0.3,2,0.3,10,2,,0,0
A1-bias-v1-monitoring,smoke_f2_a0.9,0.3,2,0.9,10,2,,0,0
A1-bias-v1-monitoring,smoke_f8_a0.3,0.3,8,0.3,10,2,,0,0
A1-bias-v1-monitoring,smoke_f8_a0.9,0.3,8,0.9,10,2,,0,0
A1-bias-v1-monitoring,smoke_f32_a0.3,0.3,32,0.3,10,2,,0,0
A1-bias-v1-monitoring,smoke_f32_a0.9,0.3,32,0.9,10,2,,0,0
A1-bias-v1-monitoring,slow_check_a0.3,0.3,0.5,0.3,20,4,,0,0
A1-bias-v1-monitoring,slow_check_a0.9,0.3,0.5,0.9,20,4,,0,0
A1-bias-v1-monitoring,repeat_f2_a0.9,0.3,2,0.9,10,2,,0,0
A1-bias-v1-monitoring,low_depth_control_end,0.3,2,0.01,10,2,,0,0
